                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7943,                 4.0289,                 1.4976,                0.00198,                0.42593,                0.00367,                0.00182,                 1.5111,                 4.1591,                 1.3228,              5.716e-05,              5.716e-05,              5.716e-05
                      2,                 1.6467,                 3.7511,                 1.3652,                0.00357,                0.56667,                0.03269,                0.02099,                 1.0811,                 3.8899,                 1.0281,             0.00012224,             0.00012224,             0.00012224
                      3,                 1.5433,                 2.9344,                  1.224,                0.00401,                0.56667,                0.07759,                0.05223,                 1.0997,                 3.6961,                0.99673,             0.00018025,             0.00018025,             0.00018025
                      4,                 1.4255,                 1.9714,                 1.2031,                0.00882,                    0.7,                0.10322,                 0.0756,                 1.1017,                 3.4781,                0.99363,             0.00023119,             0.00023119,             0.00023119
                      5,                  1.405,                 1.7538,                 1.1583,                0.01106,                0.77778,                0.27211,                0.18799,                 1.1555,                 3.2879,                0.98914,             0.00027505,             0.00027505,             0.00027505
                      6,                 1.3379,                 1.7852,                 1.1332,                0.01087,                0.84074,                0.29327,                0.20393,                 1.1599,                 3.2422,                0.99032,             0.00031184,             0.00031184,             0.00031184
                      7,                 1.3604,                 1.6885,                 1.0871,                0.01046,                0.94074,                0.33759,                0.21795,                 1.1543,                 3.1388,                0.98056,             0.00034156,             0.00034156,             0.00034156
                      8,                 1.3249,                 1.5875,                 1.0862,                 0.0097,                0.94074,                0.34369,                0.22312,                 1.1407,                 3.0246,                0.97331,              0.0003642,              0.0003642,              0.0003642
                      9,                 1.2788,                 1.4601,                 1.0631,                0.92849,                0.06667,                0.35967,                0.24136,                 1.1623,                 2.9336,                 1.0038,             0.00037977,             0.00037977,             0.00037977
                     10,                 1.2103,                 1.4893,                 1.0443,                0.92356,                0.02529,                0.27919,                 0.1793,                 1.2028,                 3.1457,                 1.0596,             0.00038827,             0.00038827,             0.00038827
                     11,                 1.2381,                 1.5577,                 1.0587,                0.91753,                 0.0226,                0.28396,                0.16966,                 1.2722,                  3.244,                 1.0993,             0.00038969,             0.00038969,             0.00038969
                     12,                 1.1721,                 1.5777,                 1.0495,                0.93851,                0.03308,                0.38945,                0.24135,                 1.2218,                 2.9763,                 1.0455,             0.00038404,             0.00038404,             0.00038404
                     13,                 1.2337,                   1.54,                 1.0766,                0.94194,                 0.0704,                0.42959,                0.27047,                  1.233,                 2.8605,                 1.0497,             0.00037131,             0.00037131,             0.00037131
                     14,                 1.1694,                 1.3887,                 1.0604,                0.96737,                 0.1366,                0.48645,                0.29065,                 1.2788,                 2.7809,                 1.0848,             0.00035151,             0.00035151,             0.00035151
                     15,                 1.1299,                 1.3251,                 1.0566,                0.97646,                0.22423,                0.59511,                0.38363,                 1.1693,                 2.4948,                 1.0106,             0.00032464,             0.00032464,             0.00032464
                     16,                 1.0624,                 1.3074,                 1.0227,                0.97745,                0.31198,                0.59637,                0.39281,                 1.1678,                  2.409,                  1.005,             0.00029069,             0.00029069,             0.00029069
                     17,                 1.1457,                 1.3164,                  1.054,                0.60364,                0.45747,                0.61877,                0.39102,                 1.2646,                 2.2305,                 1.0453,             0.00024967,             0.00024967,             0.00024967
                     18,                 1.0342,                  1.279,                 1.0331,                0.60625,                0.53506,                0.62522,                0.39389,                 1.2521,                 2.0736,                  1.031,             0.00020158,             0.00020158,             0.00020158
                     19,                 1.0298,                  1.351,                 1.0129,                0.59821,                0.58327,                0.62228,                0.41643,                 1.1928,                 1.9386,                 1.0063,             0.00014642,             0.00014642,             0.00014642
                     20,                 1.0423,                 1.1619,                 1.0078,                 0.6313,                 0.5789,                0.63448,                0.42963,                 1.1138,                 1.7494,                0.98021,             8.4175e-05,             8.4175e-05,             8.4175e-05
